category_english,total_orders,late_orders,late_pct,avg_review_score
christmas_supplies,125,18,14.4,4.07
fashion_underwear_beach,117,16,13.68,4.05
furniture_mattress_and_upholstery,37,5,13.51,3.89
audio,348,46,13.22,3.83
construction_tools_lights,242,30,12.4,4.09
office_furniture,1254,150,11.96,3.52
books_technical,256,29,11.33,4.39
home_confort,392,44,11.22,3.85
food,441,49,11.11,4.26
furniture_decor,6307,690,10.94,3.95
electronics,2517,266,10.57,4.07
uncategorized,1392,144,10.34,3.94
home_construction,483,49,10.14,3.96
bed_bath_table,9272,933,10.06,3.92
construction_tools_construction,736,74,10.05,4.09
health_beauty,8647,862,9.97,4.19
garden_tools,3448,342,9.92,4.08
furniture_living_room,414,40,9.66,3.94
baby,2809,262,9.33,4.08
musical_instruments,611,56,9.17,4.22
computers_accessories,6529,597,9.14,3.99
auto,3809,344,9.03,4.12
telephony,4093,369,9.02,4.0
costruction_tools_garden,190,17,8.95,4.12
furniture_bedroom,90,8,8.89,4.25
watches_gifts,5493,486,8.85,4.07
stationery,2264,200,8.83,4.24
industry_commerce_and_business,231,20,8.66,4.13
consoles_games,1018,85,8.35,4.14
fashio_female_clothing,36,3,8.33,3.96
sports_leisure,7529,626,8.31,4.17
signaling_and_security,138,11,7.97,4.09
perfumery,3086,246,7.97,4.22
toys,3803,302,7.94,4.21
cine_photo,63,5,7.94,4.3
music,38,3,7.89,4.21
food_drink,221,17,7.69,4.37
art,195,15,7.69,4.08
housewares,5743,441,7.68,4.11
tablets_printing_image,79,6,7.59,4.12
computers,177,13,7.34,4.22
dvds_blu_ray,56,4,7.14,4.18
cool_stuff,3559,252,7.08,4.19
books_general_interest,495,35,7.07,4.51
home_appliances_2,227,16,7.05,4.16
pet_shop,1688,118,6.99,4.22
drinks,287,20,6.97,4.13
home_appliances,747,52,6.96,4.23
small_appliances_home_oven_and_coffee,72,5,6.94,4.44
fashion_bags_accessories,1820,126,6.92,4.19
fashion_shoes,235,16,6.81,4.29
fashion_male_clothing,106,7,6.6,3.76
small_appliances,609,39,6.4,4.23
construction_tools_safety,159,10,6.29,3.97
costruction_tools_tools,97,6,6.19,4.44
luggage_accessories,1019,58,5.69,4.35
party_supplies,38,2,5.26,3.83
fixed_telephony,212,11,5.19,3.76
agro_industry_and_commerce,177,9,5.08,4.09
kitchen_dining_laundry_garden_furniture,241,12,4.98,4.03
market_place,274,13,4.74,4.07
air_conditioning,246,11,4.47,4.05
books_imported,50,2,4.0,4.51
