customer_state,total_orders,late_orders,late_pct,avg_review_score
AL,397,104,26.2,3.82
MA,717,163,22.73,3.77
SE,335,61,18.21,3.9
CE,1279,219,17.12,3.87
PI,476,81,17.02,3.96
BA,3256,508,15.6,3.86
RJ,12350,1846,14.95,3.87
TO,274,38,13.87,4.16
PA,946,131,13.85,3.84
ES,1995,273,13.68,4.02
PB,517,66,12.77,4.04
MS,701,89,12.7,4.07
RR,41,5,12.2,3.89
RN,474,54,11.39,4.11
SC,3546,396,11.17,4.05
PE,1593,178,11.17,4.02
GO,1957,181,9.25,4.04
DF,2080,178,8.56,4.06
RS,5344,426,7.97,4.09
MT,886,70,7.9,4.01
SP,40494,2685,6.63,4.18
MG,11354,706,6.22,4.12
AP,67,4,5.97,4.26
PR,4923,272,5.53,4.14
AM,145,7,4.83,4.09
RO,243,11,4.53,4.07
AC,80,3,3.75,4.13
